ts,asset,tf,direction,k_last,d_last,bull_stoch,bear_stoch,ema7_last,ema2_last,ema_align_up,ema_align_down,ema_cross_up_win,ema_cross_dn_win,trend_up,trend_down,adx14,atr14,rsi14,htf_up,htf_down,ticks_ok,near_res,near_sup,buy_score,sell_score,has_signal,result
2025-08-10T20:32:00,ATOUSD_otc,60,none,63.79702886879945,78.64410735224149,0,0,6.060571710190231,6.043033394519029,1,0,0,0,0,1,26.98291431916544,0.024043125518568843,37.38582157163409,1,0,1,0,0,4,7,0,
2025-08-10T20:32:03,AUDUSD_otc,60,none,62.57971661827821,59.5721717693063,0,0,0.6665861928504726,0.6666401918563928,0,1,0,1,1,0,20.985673910858175,0.000333654112546905,55.14946030422421,1,0,1,0,0,5,6,0,
2025-08-10T20:32:04,AXP_otc,60,none,69.27730789404497,74.00044815725381,0,1,115.33817973783817,115.32347384663838,1,0,1,0,1,0,22.08804160006551,0.040110542759318045,50.744188150679,1,0,1,0,0,5,8,0,
2025-08-10T20:32:05,AXSUSD_otc,60,none,43.89585886990125,32.98944087933858,0,0,2.6707961794689106,2.675968254785783,0,1,0,0,1,0,38.92292978974641,0.004771241951239748,72.79609108480855,1,0,1,0,0,8,4,0,
2025-08-10T20:32:06,BCHUSD_otc,60,none,15.442065362907778,11.606147198760043,0,0,572.3608878168388,572.2928538827472,1,0,0,0,0,1,27.223157404670896,0.6813287510254272,40.367750039482296,0,1,1,0,0,4,5,0,
2025-08-10T20:32:07,BEAUSD_otc,60,none,22.53532284037138,18.606111370837453,0,0,0.008327084770486931,0.008310464816862895,1,0,0,0,0,1,18.439245056648918,3.980339203990186e-05,46.91502872939387,1,0,1,0,0,5,6,0,
2025-08-10T20:32:08,BONUSD_otc,60,none,69.84126984126989,70.58201058201065,0,1,3.1843346229975245e-05,3.1828849177123503e-05,1,0,1,0,1,0,17.940753685365276,1.0748899452934901e-07,53.77778467489538,1,0,1,0,0,5,6,0,
2025-08-10T20:32:10,BRLUSD_otc,60,none,45.802469135802106,29.67634300967627,0,0,0.19016951706767252,0.1903927691344848,0,1,0,0,1,0,30.52518063319846,0.0004178656532072798,62.722229276428074,1,0,1,0,0,7,4,0,
2025-08-10T20:32:11,BTCUSD_otc,60,none,41.10266381921464,36.707133373990224,0,0,116184.13684870568,116185.78307633004,0,1,0,1,0,1,30.001267475174433,31.593510744564032,38.8199271641545,1,0,1,0,0,6,6,0,
2025-08-10T20:32:12,CADCHF_otc,60,none,75.56185174139357,88.81747647057621,0,0,0.6022347410501785,0.6021134949231278,0,0,1,0,0,1,19.405560483128745,0.0007610924775977038,44.59293911023621,1,0,1,0,0,5,7,0,
2025-08-10T20:32:13,CADJPY_otc,60,call,58.85512440912154,61.701037175556685,0,0,107.17831480171708,107.16667990955479,0,0,1,0,1,0,23.083067087907015,0.05336470388128119,53.122504165679025,1,0,1,0,0,6,6,1,
2025-08-10T20:32:44,ARBUSD_otc,60,none,66.15872431393063,80.37166461595525,0,0,0.40394258939088923,0.4037445822992838,1,0,0,0,0,1,13.39020338334181,0.00040849973674799014,41.800206763608074,0,1,1,0,0,2,7,0,
2025-08-10T20:32:45,ATOUSD_otc,60,none,52.80780780780774,71.15615615615606,0,0,6.052678782642674,6.033677798173009,1,0,0,0,0,1,27.34610590710528,0.024111474703316378,35.833247989346006,1,0,1,0,0,5,6,0,
2025-08-10T20:32:46,AUDUSD_otc,60,none,52.5862289621316,50.366085687962055,0,0,0.6665861928504726,0.6666401918563928,0,1,0,1,1,0,20.98560556680971,0.00033365410528067487,55.14946350613391,1,0,1,0,0,6,6,0,
2025-08-10T20:32:47,AXP_otc,60,none,69.27730789404497,74.00044815725381,0,1,115.33817973783817,115.32347384663838,1,0,1,0,1,0,22.08804160006551,0.040110542759318045,50.744188150679,1,0,1,0,0,5,8,0,
2025-08-10T20:32:49,BCHUSD_otc,60,none,15.442065362907778,11.606147198760043,0,0,572.3608878168388,572.2928538827472,1,0,0,0,0,1,27.223157404670896,0.6813287510254272,40.367750039482296,0,1,1,0,0,4,5,0,
2025-08-10T20:32:50,BEAUSD_otc,60,none,22.53532284037138,18.606111370837453,0,0,0.008327084770486931,0.008310464816862895,1,0,0,0,0,1,18.439245056648918,3.980339203990186e-05,46.91502872939387,1,0,1,0,0,5,6,0,
2025-08-10T20:32:51,BONUSD_otc,60,none,69.84126984126989,70.58201058201065,0,1,3.1843346229975245e-05,3.1828849177123503e-05,1,0,1,0,1,0,17.940753685365276,1.0748899452934901e-07,53.77778467489538,1,0,1,0,0,5,6,0,
2025-08-10T20:32:52,BRLUSD_otc,60,none,45.802469135802106,29.67634300967627,0,0,0.19016951706767252,0.1903927691344848,0,1,0,0,1,0,30.52518063319846,0.0004178656532072798,62.722229276428074,1,0,1,0,0,7,4,0,
