ts,asset,dir,payout,score,min_conf,passed,atr_pctile,body_ratio,ema60_align,ema30_align,ema15_slope,microtrend_ok,result,pnl,resolve_source,health_score
2025-08-15T13:38:01,APTUSD_otc,put,93.0,0.65,0.6,1,48.3,0.42,1,0,0,1,WIN,93.0,hist,0.928
2025-08-15T13:40:14,TIAUSD_otc,call,93.0,0.65,0.6,1,41.7,0.81,1,0,0,1,LOSS,-200.0,hist,0.926
2025-08-15T13:44:47,BRLUSD_otc,put,93.0,0.65,0.6,1,38.3,0.57,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-15T13:46:22,BRLUSD_otc,put,93.0,0.65,0.6,1,37.5,0.52,1,0,0,1,LOSS,-200.0,hist,0.926
2025-08-15T13:48:42,XAUUSD_otc,put,89.0,0.65,0.64,1,45.8,0.68,1,0,0,1,LOSS,-100.0,hist,0.929
2025-08-15T13:50:32,INTC_otc,put,87.0,0.65,0.64,1,65.8,0.65,1,0,0,1,WIN,174.0,hist,0.926
2025-08-15T13:54:17,SOLUSD_otc,call,93.0,0.65,0.6,1,35.8,0.65,1,0,0,1,WIN,93.0,hist,0.928
2025-08-15T13:56:40,LINUSD_otc,call,93.0,0.65,0.6,1,45.8,0.47,1,0,0,1,LOSS,-200.0,hist,0.928
2025-08-15T13:58:21,LINUSD_otc,call,93.0,0.65,0.6,1,56.7,0.41,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-15T13:59:44,MSFT_otc,put,87.0,0.65,0.64,1,55.8,0.67,1,0,0,1,LOSS,-200.0,hist,0.925
2025-08-15T17:21:24,USCrude_otc,call,85.0,0.65,0.64,1,43.3,0.76,1,0,0,1,LOSS,-100.0,hist,0.927
2025-08-15T17:22:44,USDZAR_otc,call,90.0,0.65,0.6,1,54.2,0.96,1,0,0,1,WIN,90.0,hist,0.925
2025-08-15T17:24:40,EURSGD_otc,put,86.0,0.65,0.64,1,68.3,0.5,1,0,0,1,LOSS,-100.0,hist,0.928
2025-08-15T17:29:18,MSFT_otc,put,87.0,0.65,0.64,1,35.8,0.52,1,0,0,1,DRAW,0.0,none,0.916
2025-08-15T17:51:16,EURUSD_otc,call,93.0,0.65,0.6,1,63.3,0.64,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:51:31,EURUSD_otc,call,93.0,0.65,0.6,1,63.3,0.64,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:51:57,GBPAUD_otc,call,93.0,0.65,0.6,1,54.2,0.71,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:53:12,AUDCAD_otc,call,90.0,0.65,0.6,1,43.3,0.38,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:55:20,BTCUSD_otc,put,93.0,0.65,0.6,1,45.0,0.8,1,0,0,1,LOSS,-100.0,hist,0.924
2025-08-15T17:56:32,TONUSD_otc,call,93.0,0.65,0.6,1,41.7,0.74,1,0,0,1,LOSS,-100.0,hist,0.925
