ts_local,mode,asset,direction,note,schedule_ts,schedule_str,payout,tf_s
2025-08-17T12:43:00,live,NOTUSD_otc,put,parallel_scan quality=1.00 mode=ema_cross,,,93.0,60
2025-08-17T12:45:05,live,TRXUSD_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,93.0,60
2025-08-17T12:47:22,live,DASUSD_otc,call,parallel_scan quality=1.00 mode=trend_follow,,,68.0,60
2025-08-17T12:50:34,live,EURGBP_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,93.0,60
2025-08-17T12:51:59,live,USDPHP_otc,put,parallel_scan quality=0.90 mode=momentum,,,90.0,60
2025-08-17T12:55:12,live,PFE_otc,call,parallel_scan quality=0.92 mode=trend_follow,,,87.0,60
2025-08-17T13:24:19,live,MANUSD_otc,put,parallel_scan score=0.82 mode=ema_cross,,,93.0,60
2025-08-17T13:27:21,live,WIFUSD_otc,put,parallel_scan score=0.91 mode=ema_cross,,,93.0,60
2025-08-17T13:29:18,live,XRPUSD_otc,call,parallel_scan score=0.86 mode=trend_follow,,,93.0,60
2025-08-17T13:31:37,live,EURUSD_otc,put,parallel_scan score=0.85 mode=momentum,,,87.0,60
2025-08-17T13:36:33,live,SHIUSD_otc,call,parallel_scan score=0.90 mode=trend_follow,,,93.0,60
2025-08-17T13:38:08,live,EURUSD_otc,put,parallel_scan score=0.77 mode=momentum,,,93.0,60
2025-08-17T13:41:14,live,DOGUSD_otc,put,parallel_scan score=0.75 mode=trend_follow,,,93.0,60
2025-08-17T13:43:22,live,USCrude_otc,call,parallel_scan score=0.90 mode=ema_cross,,,89.0,60
2025-08-17T13:46:35,live,BNBUSD_otc,put,parallel_scan score=0.69 mode=ema_cross,,,93.0,60
2025-08-17T13:51:55,live,NOTUSD_otc,put,parallel_scan score=0.88 mode=trend_follow,,,93.0,60
2025-08-17T13:54:29,live,SOLUSD_otc,call,parallel_scan score=0.76 mode=ema_cross,,,93.0,60
2025-08-17T13:58:20,live,ARBUSD_otc,call,parallel_scan score=0.79 mode=ema_cross,,,93.0,60
2025-08-17T13:59:49,live,WIFUSD_otc,put,parallel_scan score=0.83 mode=ema_cross,,,93.0,60
2025-08-17T15:46:52,live,USDJPY_otc,call,parallel_scan score=0.78 mode=ema_cross,,,86.0,60
