ts_local,asset,direction,timeframe_min,trade_time,forecast_pct,payout_pct,trade_epoch,seconds_until_entry,ignored,reason,raw
2025-09-06 16:41:12,CADJPY_otc,put,1,08:13:00,,,1757157180,102,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 08:13:00 | 🔽 put
2025-09-06 16:46:56,USDBDT_otc,call,1,08:18:00,,,1757157480,58,0,ok,💳 USDBDT-OTC | 🔥 M1 | ⌛ 08:18:00 | 🔼 call
2025-09-06 16:54:02,CHFJPY_otc,put,1,08:25:00,,,1757157900,52,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 08:25:00 | 🔽 put
2025-09-06 17:01:00,EURCHF_otc,put,1,08:32:00,,,1757158320,54,0,ok,💳 EURCHF-OTC | 🔥 M1 | ⌛ 08:32:00 | 🔽 put
2025-09-06 17:07:01,AUDNZD_otc,put,1,08:38:00,,,1757158680,53,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 08:38:00 | 🔽 put
2025-09-06 17:11:07,EURJPY_otc,call,1,08:43:00,,,1757158980,107,0,ok,💳 EURJPY-OTC | 🔥 M1 | ⌛ 08:43:00 | 🔼 call
2025-09-06 17:20:12,NZDCAD_otc,call,1,08:52:00,,,1757159520,102,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 08:52:00 | 🔼 call
2025-09-06 17:25:18,AUDUSD_otc,put,1,08:57:00,,,1757159820,96,0,ok,💳 AUDUSD-OTC | 🔥 M1 | ⌛ 08:57:00 | 🔽 put
2025-09-06 17:39:45,USDCAD_otc,call,1,09:11:00,,,1757160660,69,0,ok,💳 USDCAD-OTC | 🔥 M1 | ⌛ 09:11:00 | 🔼 call
2025-09-06 17:45:15,EURCAD_otc,call,1,09:17:00,,,1757161020,99,0,ok,💳 EURCAD-OTC | 🔥 M1 | ⌛ 09:17:00 | 🔼 call
2025-09-06 17:54:55,CADJPY_otc,call,1,09:26:00,,,1757161560,59,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 09:26:00 | 🔼 call
2025-09-06 17:59:19,AUDJPY_otc,put,1,09:31:00,,,1757161860,95,0,ok,💳 AUDJPY-OTC | 🔥 M1 | ⌛ 09:31:00 | 🔽 put
2025-09-06 18:07:00,EURCAD_otc,put,1,09:38:00,,,1757162280,54,0,ok,💳 EURCAD-OTC | 🔥 M1 | ⌛ 09:38:00 | 🔽 put
2025-09-06 18:15:01,CADCHF_otc,call,1,09:46:00,,,1757162760,53,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 09:46:00 | 🔼 call
2025-09-06 18:22:06,CADJPY_otc,call,1,09:54:00,,,1757163240,108,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 09:54:00 | 🔼 call
2025-09-06 18:31:04,CADCHF_otc,call,1,10:03:00,,,1757163780,110,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 10:03:00 | 🔼 call
2025-09-06 18:37:01,EURNZD_otc,call,1,10:08:00,,,1757164080,53,0,ok,💳 EURNZD-OTC | 🔥 M1 | ⌛ 10:08:00 | 🔼 call
2025-09-06 18:41:21,NZDJPY_otc,put,1,10:13:00,,,1757164380,93,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 10:13:00 | 🔽 put
2025-09-06 18:46:14,NZDCAD_otc,put,1,10:18:00,,,1757164680,100,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 10:18:00 | 🔽 put
2025-09-06 18:53:22,NZDCHF_otc,put,1,10:25:00,,,1757165100,92,0,ok,💳 NZDCHF-OTC | 🔥 M1 | ⌛ 10:25:00 | 🔽 put
2025-09-06 19:00:04,EURJPY_otc,put,1,10:31:00,,,1757165460,50,0,ok,💳 EURJPY-OTC | 🔥 M1 | ⌛ 10:31:00 | 🔽 put
2025-09-06 19:05:33,GBPCHF_otc,put,1,10:37:00,,,1757165820,81,0,ok,💳 GBPCHF-OTC | 🔥 M1 | ⌛ 10:37:00 | 🔽 put
2025-09-06 19:12:08,CADJPY_otc,call,1,10:44:00,,,1757166240,106,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 10:44:00 | 🔼 call
2025-09-06 19:23:03,AUDUSD_otc,put,1,10:54:00,,,1757166840,51,0,ok,💳 AUDUSD-OTC | 🔥 M1 | ⌛ 10:54:00 | 🔽 put
