ts_local,asset,dir,payout,confluence,ema7,ema3,ema_cross,ema7_slope,psar_pos,bears,bears_slope,candle,note
2025-08-26 09:16:31 IST,USDBDT_otc,call,78.0,1,126.62,126.63,up,0.01999999999999602,below,-0.017451048149382586,0.0007574462277659677,green,confluence
2025-08-26 09:18:37 IST,TONUSD_otc,put,93.0,1,4.3,4.29,down,-0.019999999999999574,above,0.0655875365354861,-0.00442916801983273,red,confluence
2025-08-26 09:20:37 IST,CHFJPY_otc,call,82.0,1,186.86,186.87,up,0.03999999999999204,below,-0.18826091456733707,0.022305959798757158,green,confluence
2025-08-26 10:25:56 IST,USDCOP_otc,put,80.0,1,4036.52,4036.45,down,-0.14000000000032742,above,-0.3327111797775615,-0.16878847482303172,red,confluence
2025-08-26 10:33:44 IST,CADJPY_otc,call,90.0,1,108.1,108.11,up,0.04000000000000625,below,0.2259165950348887,0.056854940924623065,green,confluence
2025-08-26 10:34:21 IST,AXP_otc,put,87.0,1,116.1,116.09,down,-0.01999999999999602,above,-0.07325377706472125,-0.02336097121981595,red,confluence
2025-08-26 10:46:51 IST,USDDZD_otc,call,80.0,1,130.42,130.43,up,0.010000000000019327,below,-0.05792153465483807,0.003589686468671971,green,confluence
2025-08-26 10:48:18 IST,AXP_otc,put,80.0,1,116.16,116.15,down,-0.009999999999990905,above,-0.001649644847546483,-0.002420383524167846,red,confluence
2025-08-26 10:50:32 IST,CADJPY_otc,put,90.0,1,108.34,108.32,down,-0.030000000000001137,above,0.20771618973459738,-0.04602652554572728,red,confluence
2025-08-26 10:52:41 IST,ETHUSD_otc,put,73.0,1,4648.96,4648.73,down,-0.5,above,0.24979777928274416,-0.7011036214553314,red,confluence
2025-08-26 10:52:42 IST,USDBDT_otc,call,87.0,1,126.08,126.1,up,0.030000000000001137,below,-0.15885155223917025,0.010068576008862351,green,confluence
2025-08-26 10:57:12 IST,GALUSD_otc,call,76.0,1,0.02,0.03,up,0.009999999999999998,below,-0.0016512154971705419,0.004046341314710017,green,confluence
2025-08-26 10:58:45 IST,CADJPY_otc,call,90.0,1,108.28,108.3,up,0.030000000000001137,below,0.14763255516281504,0.02682842388286133,green,confluence
2025-08-26 11:00:40 IST,TRUUSD_otc,put,93.0,1,8.1,8.08,down,-0.03999999999999915,above,-0.08072438017099337,-0.045084282215889004,red,confluence
2025-08-26 11:03:40 IST,SOLUSD_otc,put,93.0,1,179.85,179.68,down,-0.3499999999999943,above,-0.24821129360478267,-0.44525143357020625,red,confluence
2025-08-26 11:05:37 IST,CADJPY_otc,put,90.0,1,108.32,108.3,down,-0.030000000000001137,above,0.09582688014727125,-0.01762321778322473,red,confluence
2025-08-26 11:09:40 IST,DOTUSD_otc,put,70.0,1,2.68,2.67,down,-0.020000000000000018,above,-0.07182499714766477,-0.005376851957493933,red,confluence
2025-08-26 11:11:57 IST,EURJPY_otc,put,90.0,1,172.66,172.64,down,-0.030000000000001137,above,-0.10936338883487906,-0.02702357819131862,red,confluence
2025-08-26 11:12:56 IST,EURCHF_otc,call,80.0,1,0.995363245591973,0.9954981816447953,up,0.00037181835520472273,below,-0.0014851231383801178,0.00019907863475476795,green,confluence
2025-08-26 11:17:31 IST,MCD_otc,put,84.0,1,272.87,272.86,down,-0.029999999999972715,above,-0.019793959289586383,-0.021266890396645977,red,confluence
2025-08-26 11:25:24 IST,BCHUSD_otc,put,89.0,1,580.32,580.27,down,-0.2699999999999818,above,1.7115567341920723,-0.18598358274789462,red,confluence
2025-08-26 11:29:09 IST,USDJPY_otc,put,92.0,1,146.97,146.96,down,-0.009999999999990905,above,0.09664978374462407,-0.0027277697683132374,red,confluence
2025-08-26 12:16:55 IST,EURJPY_otc,call,90.0,1,172.49,172.5,up,0.020000000000010232,below,-0.03783441471122728,0.011364237581886982,green,confluence
2025-08-26 12:18:08 IST,GBPJPY_otc,call,90.0,1,197.35,197.38,up,0.060000000000002274,below,0.11285953449566932,0.007857054277963016,green,confluence
2025-08-26 12:18:56 IST,DOTUSD_otc,put,60.0,1,2.51,2.49,down,-0.029999999999999805,above,-0.05570905194165254,-0.020973738816976173,red,confluence
2025-08-26 12:20:44 IST,ETCUSD_otc,put,93.0,1,23.0,22.99,down,-0.020000000000003126,above,0.0005072252488353968,-0.006129897231438974,red,confluence
2025-08-26 12:24:13 IST,USDIDR_otc,call,80.0,1,16220.43,16220.61,up,0.3900000000012369,below,-4.5156438664016605,0.7331719950525439,green,confluence
2025-08-26 12:27:43 IST,USDJPY,call,72.0,1,147.72,147.74,up,0.030000000000001137,below,0.0025584004725942577,0.029164503686217813,green,confluence
2025-08-26 12:32:55 IST,EURJPY_otc,put,90.0,1,172.48,172.47,down,-0.020000000000010232,above,-0.07373367857459812,-0.03793578968245015,red,confluence
2025-08-26 12:35:21 IST,USDJPY,put,75.0,1,147.78,147.77,down,-0.03999999999999204,above,-0.01874245539323738,-0.05997250165211199,red,confluence
2025-08-26 12:36:40 IST,CADJPY,put,74.0,1,106.64,106.63,down,-0.020000000000010232,above,-0.016360396442493652,-0.007542207539160017,red,confluence
2025-08-26 12:39:34 IST,GBPJPY_otc,put,90.0,1,197.64,197.61,down,-0.06999999999999318,above,0.10827575366741371,-0.10501021309877956,red,confluence
2025-08-26 12:42:16 IST,XAGUSD_otc,call,89.0,1,38.88,38.89,up,0.00999999999999801,below,-0.0044754534197863904,0.003095387163696728,green,confluence
2025-08-26 12:50:30 IST,BCHUSD_otc,put,83.0,1,584.16,584.09,down,-0.14999999999997726,above,0.8185374688325737,-0.3032791655123219,red,confluence
2025-08-26 12:52:10 IST,ATOUSD_otc,put,83.0,1,4.6,4.59,down,-0.009999999999999787,above,-0.0028112524865280264,-0.00600699064864596,red,confluence
2025-08-26 13:02:43 IST,DOTUSD_otc,put,70.0,1,2.83,2.82,down,-0.020000000000000018,above,0.06542316699988637,-0.03416382099999593,red,confluence
2025-08-26 13:15:26 IST,BA_otc,put,82.0,1,345.94,345.92,down,-0.07999999999998408,above,-0.5873202435495841,-0.10121036135001305,red,confluence
2025-08-26 13:21:26 IST,AVAUSD_otc,call,69.0,1,23.58,23.6,up,0.030000000000001137,below,0.03380430976821813,0.0048220626011747925,green,confluence
2025-08-26 13:23:58 IST,AXSUSD_otc,call,91.0,1,2.3459020077569206,2.35,up,0.010000000000000231,below,-0.009387950934280909,0.003503257442010632,green,confluence
2025-08-26 13:26:25 IST,EURJPY_otc,put,90.0,1,172.31,172.3,down,-0.009999999999990905,above,-0.05023045439563134,-0.0001396128001829311,red,confluence
2025-08-26 13:28:56 IST,MSFT_otc,put,82.0,1,346.5,346.49,down,-0.029999999999972715,above,-0.1266612736717434,-0.04764217504919088,red,confluence
2025-08-26 17:36:10 IST,TONUSD_otc,put,93.0,1,4.61,4.6,down,-0.020000000000000462,above,-0.06551598918023327,-0.005684592993325133,red,confluence
2025-08-26 17:37:57 IST,GBPJPY_otc,put,90.0,1,199.4,199.39,down,-0.040000000000020464,above,0.19798116724027182,-0.0374807839718585,red,confluence
